code,locale,name,descr
W,en,"Work","Regular working hours, typically used for planned work time."
W,de,"Arbeit","Reguläre Arbeitsstunden, üblicherweise für geplante Arbeitszeit verwendet."
V,en,"Vacation","Approved annual leave/vacation days."
V,de,"Urlaub","Genehmigter Jahresurlaub/Urlaubstage."
S,en,"Sick Leave","Time taken off due to illness or medical necessity."
S,de,"Krankheit","Frei genommene Zeit aufgrund von Krankheit oder medizinischer Notwendigkeit."
H,en,"Holiday","Official public holiday when work is not required."
H,de,"Feiertag","Offizieller Feiertag, an dem keine Arbeit erforderlich ist."
O,en,"Day Off","General non-working day, often used for weekend days."
O,de,"Frei","Allgemeiner freier Tag, oft für Wochenendtage verwendet."
F,en,"Flex Time Off","Time taken off using accumulated flexible hours (e.g., from a flexitime balance)."
F,de,"Flexzeitabbau","Abbau von angesammelten flexiblen Stunden (z.B. aus einem Flexzeit-Guthaben)."
G,en,"Gliding Time Off","Time taken off using accumulated gliding time (similar to Flex Time)."
G,de,"Gleitzeitabbau","Abbau von angesammelten Gleitzeit (ähnlich Flexzeitabbau)."
B,en,"Business Trip","Time spent travelling or working for the company away from the main office."
B,de,"Dienstreise","Zeit, die mit Reisen oder Arbeiten für das Unternehmen außerhalb des Hauptbüros verbracht wird."
